,Inspection_id,DBA_Name,Risk,Address,Zip,Inspection_Date,Results,Latitude,Longitude
109,2262204,SIMI'S,Risk 1 (High),6310 N WESTERN AVE ,60659,2019-02-20T00:00:00,Pass w/ Conditions,41.99628183,-87.68998285
110,2262200,TACO BELL,Risk 1 (High),4614 S DAMEN AVE ,60609,2019-02-19T00:00:00,Pass,41.80983789,-87.6751212
111,2262199,QUIZNO'S SUB,Risk 1 (High),164 W DIVISION ST ,60610,2019-02-19T00:00:00,Pass w/ Conditions,41.90397013,-87.63399178
112,2262195,DENDEN RESTAURANT,Risk 1 (High),6635 N CLARK ST ,60626,2019-02-19T00:00:00,Pass,42.00274009,-87.67206262
113,2262198,CHOLIES PIZZERIA INC.,Risk 1 (High),1601 E 53RD ST ,60615,2019-02-19T00:00:00,Pass w/ Conditions,41.79946827,-87.58639503
114,2262193,"CHINESE CHEF'S KITCHEN, INC.",Risk 1 (High),2637 N CENTRAL AVE ,60639,2019-02-19T00:00:00,Pass w/ Conditions,41.92876724,-87.76600711
115,2262192,BOMBASTIC CAFE,Risk 2 (Medium),3732 N SOUTHPORT AVE ,60613,2019-02-19T00:00:00,Pass w/ Conditions,41.94988265,-87.66424178
116,2262186,SMALL CHEVAL,Risk 2 (Medium),1732 N MILWAUKEE AVE ,60647,2019-02-19T00:00:00,Pass w/ Conditions,41.91273042,-87.68132703
117,2262197,"FIESTA BURGER HEAVEN, INC.",Risk 1 (High),7832 S ASHLAND AVE ,60620,2019-02-19T00:00:00,Pass w/ Conditions,41.75117948,-87.66360549
118,2262187,USMANIA RESTAURANT,Risk 1 (High),2253 W DEVON AVE ,60659,2019-02-19T00:00:00,Pass w/ Conditions,41.99766946,-87.68706951
119,2262181,SUBWAY,Risk 1 (High),3550 N AUSTIN AVE ,60634,2019-02-19T00:00:00,Pass w/ Conditions,41.94548695,-87.77663733
120,2262188,TERRY'S,Risk 1 (High),5950 W MADISON ST ,60644,2019-02-19T00:00:00,Pass w/ Conditions,41.88020994,-87.77381514
121,2262177,"TONY'S BURRITO MEX, INC",Risk 1 (High),1957 W BELMONT AVE ,60657,2019-02-19T00:00:00,Pass,41.93946536,-87.67815712
122,2262185,BOYA FOOD TRADING,Risk 1 (High),2621 S HALSTED ST ,60608,2019-02-19T00:00:00,Pass w/ Conditions,41.84467742,-87.64628725
123,2262180,CHILI'S GRILL & BAR,Risk 1 (High),1750 W 119TH ST ,60643,2019-02-19T00:00:00,Pass,41.67756731,-87.66584493
124,2262175,MAYAN PALACE 2,Risk 1 (High),2721 N HALSTED ST ,60614,2019-02-19T00:00:00,Pass,41.93217875,-87.64884537
125,2262174,MAYAN PALACE 2,Risk 1 (High),2721 N HALSTED ST ,60614,2019-02-19T00:00:00,Pass,41.93217875,-87.64884537
126,2262173,NAF NAF GRILL,Risk 1 (High),326 N MICHIGAN AVE ,60601,2019-02-19T00:00:00,Pass w/ Conditions,41.88741511,-87.62469815
127,2262171,LEADER BAR,Risk 1 (High),3000-3004 W Irving Park RD ,60618,2019-02-19T00:00:00,Fail,41.95405926,-87.70319086
128,2262178,WINGSTOP,Risk 1 (High),7953 S CICERO AVE ,60652,2019-02-19T00:00:00,Pass w/ Conditions,41.74803597,-87.74115697
129,2262168,"BENCHMARK HOSPITALITY OF CHICAGO, INC.",Risk 1 (High),325 N LA SALLE ST BLDG ,60654,2019-02-19T00:00:00,Pass,41.88819879,-87.63236298
130,2262167,"BENCHMARK HOSPITALITY OF CHICAGO, INC.",Risk 1 (High),325 N LA SALLE ST BLDG ,60654,2019-02-19T00:00:00,Pass,41.88819879,-87.63236298
131,2262164,WINDY CITY BBQ,Risk 3 (Low),2239-2241 N WESTERN AVE ,60647,2019-02-19T00:00:00,Pass w/ Conditions,41.92282232,-87.68743108
132,2262161,WINDY CITY BBQ,Risk 1 (High),2239-2241 N WESTERN AVE ,60647,2019-02-19T00:00:00,Pass w/ Conditions,41.92282232,-87.68743108
133,2262155,TORTERIA SAN LENCHITO INC.,Risk 1 (High),4810 N DRAKE AVE ,60625,2019-02-19T00:00:00,Pass w/ Conditions,41.96873485,-87.71719003
134,2262148,Las Delicias De Puerto Rico,Risk 1 (High),4821 W ARMITAGE AVE ,60639,2019-02-19T00:00:00,Pass w/ Conditions,41.91681503,-87.7470576
135,2262154,THE  VERANDA ON THORNDALE,Risk 1 (High),1100-1102 W THORNDALE AVE ,60660,2019-02-19T00:00:00,Fail,41.99016589,-87.65832086
136,2262144,TAQUERIA EL HEREDERO INC,Risk 3 (Low),3222 W ARMITAGE AVE ,60647,2019-02-19T00:00:00,Pass w/ Conditions,41.91749939,-87.70794307
137,2262141,TAQUERIA EL HEREDERO INC,Risk 1 (High),3222 W ARMITAGE AVE ,60647,2019-02-19T00:00:00,Pass w/ Conditions,41.91749939,-87.70794307
138,2262133,LE COLONIAL,Risk 1 (High),57 E OAK ST ,60611,2019-02-19T00:00:00,Pass,41.90067176,-87.62623509
139,2262132,ELEVEN CITY DINER,Risk 1 (High),1112 S WABASH AVE ,60605,2019-02-19T00:00:00,Pass w/ Conditions,41.8688341,-87.62600895
140,2262126,DUNKIN DONUTS,Risk 2 (Medium),500 W MADISON ST ,60661,2019-02-19T00:00:00,Pass w/ Conditions,41.88199434,-87.63975868
141,2262124,YOSHI'S CAFE,Risk 1 (High),3257 N HALSTED ST ,60657,2019-02-19T00:00:00,Pass w/ Conditions,41.94169634,-87.64917657
142,2262125,LE COLONIAL,Risk 1 (High),57 E OAK ST ,60611,2019-02-19T00:00:00,Pass,41.90067176,-87.62623509
143,2262131,"MARISCOS EL KORA, INC.",Risk 3 (Low),5207-5209 S ARCHER AVE ,60632,2019-02-19T00:00:00,Pass w/ Conditions,41.79984493,-87.73474014
144,2262130,ANTEPRIMA,Risk 1 (High),5316 N CLARK ST ,60640,2019-02-19T00:00:00,Pass w/ Conditions,41.97861615,-87.66847039
145,2262117,"MARISCOS EL KORA, INC.",Risk 1 (High),5207-5209 S ARCHER AVE ,60632,2019-02-19T00:00:00,Pass w/ Conditions,41.79984493,-87.73474014
146,2262115,I.H.O.P.,Risk 1 (High),4210 N CICERO AVE ,60641,2019-02-19T00:00:00,Pass,41.95742942,-87.74757442
147,2262110,LOU MALNATI'S PIZZERIA,Risk 1 (High),1120 N STATE ST ,60610,2019-02-15T00:00:00,Pass w/ Conditions,41.90239382,-87.62846892
148,2262107,SUBWAY,Risk 1 (High),6555 N CLARK ST ,60626,2019-02-15T00:00:00,Pass w/ Conditions,42.00155691,-87.67165232
149,2262102,SUBWAY,Risk 1 (High),1651 W ROOSEVELT RD ,60608,2019-02-15T00:00:00,Pass w/ Conditions,41.86674938,-87.66846405
150,2262099,SUBWAY,Risk 1 (High),3706 N SOUTHPORT AVE ,60613,2019-02-15T00:00:00,Pass w/ Conditions,41.94914776,-87.66422178
