Inspection_id,DBA_Name,Risk,Address,Results,Inspection_Date,ratings
2268213,"DUNKIN DONUTS","Risk 2 (Medium)","5723 N CALIFORNIA AVE ","Pass w/ Conditions",2019-02-20T00:00:00,4
2262200,"TACO BELL","Risk 1 (High)","4614 S DAMEN AVE ",Pass,2019-02-19T00:00:00,3.8
2262199,"QUIZNO'S SUB","Risk 1 (High)","164 W DIVISION ST ","Pass w/ Conditions",2019-02-19T00:00:00,4.5
2262198,"CHOLIES PIZZERIA INC.","Risk 1 (High)","1601 E 53RD ST ","Pass w/ Conditions",2019-02-19T00:00:00,4.3
2262193,"CHINESE CHEF'S KITCHEN, INC.","Risk 1 (High)","2637 N CENTRAL AVE ","Pass w/ Conditions",2019-02-19T00:00:00,3.9
2262186,"SMALL CHEVAL","Risk 2 (Medium)","1732 N MILWAUKEE AVE ","Pass w/ Conditions",2019-02-19T00:00:00,4.7
2262181,SUBWAY,"Risk 1 (High)","3550 N AUSTIN AVE ","Pass w/ Conditions",2019-02-19T00:00:00,3.2
2262177,"TONY'S BURRITO MEX, INC","Risk 1 (High)","1957 W BELMONT AVE ",Pass,2019-02-19T00:00:00,4.6
2262180,"CHILI'S GRILL & BAR","Risk 1 (High)","1750 W 119TH ST ",Pass,2019-02-19T00:00:00,4.1
2262175,"MAYAN PALACE 2","Risk 1 (High)","2721 N HALSTED ST ",Pass,2019-02-19T00:00:00,4.4
2262174,"MAYAN PALACE 2","Risk 1 (High)","2721 N HALSTED ST ",Pass,2019-02-19T00:00:00,4.4
2262173,"NAF NAF GRILL","Risk 1 (High)","326 N MICHIGAN AVE ","Pass w/ Conditions",2019-02-19T00:00:00,4.3
2262178,WINGSTOP,"Risk 1 (High)","7953 S CICERO AVE ","Pass w/ Conditions",2019-02-19T00:00:00,3.3
2262168,"BENCHMARK HOSPITALITY OF CHICAGO, INC.","Risk 1 (High)","325 N LA SALLE ST BLDG ",Pass,2019-02-19T00:00:00,4
2262167,"BENCHMARK HOSPITALITY OF CHICAGO, INC.","Risk 1 (High)","325 N LA SALLE ST BLDG ",Pass,2019-02-19T00:00:00,4
2262164,"WINDY CITY BBQ","Risk 3 (Low)","2239-2241 N WESTERN AVE ","Pass w/ Conditions",2019-02-19T00:00:00,3.7
2262161,"WINDY CITY BBQ","Risk 1 (High)","2239-2241 N WESTERN AVE ","Pass w/ Conditions",2019-02-19T00:00:00,3.7
2262155,"TORTERIA SAN LENCHITO INC.","Risk 1 (High)","4810 N DRAKE AVE ","Pass w/ Conditions",2019-02-19T00:00:00,4.9
2262144,"TAQUERIA EL HEREDERO INC","Risk 3 (Low)","3222 W ARMITAGE AVE ","Pass w/ Conditions",2019-02-19T00:00:00,4.6
2262141,"TAQUERIA EL HEREDERO INC","Risk 1 (High)","3222 W ARMITAGE AVE ","Pass w/ Conditions",2019-02-19T00:00:00,4.6
2262133,"LE COLONIAL","Risk 1 (High)","57 E OAK ST ",Pass,2019-02-19T00:00:00,4.4
2262132,"ELEVEN CITY DINER","Risk 1 (High)","1112 S WABASH AVE ","Pass w/ Conditions",2019-02-19T00:00:00,4.6
2262126,"DUNKIN DONUTS","Risk 2 (Medium)","500 W MADISON ST ","Pass w/ Conditions",2019-02-19T00:00:00,4
2262125,"LE COLONIAL","Risk 1 (High)","57 E OAK ST ",Pass,2019-02-19T00:00:00,4.4
2262131,"MARISCOS EL KORA, INC.","Risk 3 (Low)","5207-5209 S ARCHER AVE ","Pass w/ Conditions",2019-02-19T00:00:00,4.3
2262117,"MARISCOS EL KORA, INC.","Risk 1 (High)","5207-5209 S ARCHER AVE ","Pass w/ Conditions",2019-02-19T00:00:00,4.3
2262115,I.H.O.P.,"Risk 1 (High)","4210 N CICERO AVE ",Pass,2019-02-19T00:00:00,4
2262110,"LOU MALNATI'S PIZZERIA","Risk 1 (High)","1120 N STATE ST ","Pass w/ Conditions",2019-02-15T00:00:00,4.5
2262107,SUBWAY,"Risk 1 (High)","6555 N CLARK ST ","Pass w/ Conditions",2019-02-15T00:00:00,3.2
2262102,SUBWAY,"Risk 1 (High)","1651 W ROOSEVELT RD ","Pass w/ Conditions",2019-02-15T00:00:00,3.2
2262099,SUBWAY,"Risk 1 (High)","3706 N SOUTHPORT AVE ","Pass w/ Conditions",2019-02-15T00:00:00,3.2
2262097,"A.P. DELI INC. XI","Risk 1 (High)","1759 E 75TH ST ","Pass w/ Conditions",2019-02-15T00:00:00,4.4
2262089,"THE GLOBE PUB","Risk 1 (High)","1934 W IRVING PARK RD ","Pass w/ Conditions",2019-02-15T00:00:00,4.5
2262087,"HOME RUN INN PIZZERIA","Risk 1 (High)","3211-3215 N SHEFFIELD AVE ",Pass,2019-02-15T00:00:00,4.4
2262086,"KAM FUNG RESTAURANT","Risk 1 (High)","216 W 22ND PL ",Fail,2019-02-15T00:00:00,3.9
2262085,SUBWAY,"Risk 1 (High)","1300 W CERMAK RD ","Pass w/ Conditions",2019-02-15T00:00:00,3.2
2262082,"MAY ST. RESTAURANT","Risk 1 (High)","1146 W CERMAK RD ","No Entry",2019-02-15T00:00:00,4
2262076,"JOJO'S MILK BAR","Risk 1 (High)","23 W HUBBARD ST ","Pass w/ Conditions",2019-02-15T00:00:00,4.5
2262075,"JOJO'S MILK BAR","Risk 1 (High)","23 W HUBBARD ST ","Pass w/ Conditions",2019-02-15T00:00:00,4.5
2262056,"LOU MITCHELL'S","Risk 1 (High)","565 W JACKSON BLVD ",Fail,2019-02-15T00:00:00,4.6
2262045,"SPANGLISH MEXICAN KITCHEN INC.","Risk 1 (High)","555 S STATE ST ","Pass w/ Conditions",2019-02-15T00:00:00,4.1
2262043,"SUBWAY  5183","Risk 1 (High)","333 W NORTH AVE ","Pass w/ Conditions",2019-02-15T00:00:00,3.9
2262040,"NOOKIES CAFE & RESTAURANT","Risk 1 (High)","1100 W BRYN MAWR AVE ","Pass w/ Conditions",2019-02-15T00:00:00,4.4
2262039,"STEAK & EGGER","Risk 1 (High)","1174 W CERMAK RD ","Pass w/ Conditions",2019-02-15T00:00:00,4.1
2262035,"LA PERLA TAPATIA","Risk 1 (High)","3251 W NORTH AVE ","Pass w/ Conditions",2019-02-14T00:00:00,4.5
2262027,"GOOGOO'S TABLE","Risk 1 (High)","4356 W ARMITAGE AVE ","Pass w/ Conditions",2019-02-14T00:00:00,4.2
2262034,IYANZE,"Risk 1 (High)","4623-4627 N BROADWAY ",Fail,2019-02-14T00:00:00,3.9
2262026,"PONCE PLACE","Risk 1 (High)","3612 W NORTH AVE ","Pass w/ Conditions",2019-02-14T00:00:00,4.4
2262024,MAKO,"Risk 3 (Low)","731 W LAKE ST ",Fail,2019-02-14T00:00:00,4.6
2262020,"PARSON'S CHICKEN & FISH","Risk 1 (High)","2435-2439 N HALSTED ST ",Pass,2019-02-14T00:00:00,4.5
2262019,"PARSON'S CHICKEN & FISH","Risk 1 (High)","2435-2439 N HALSTED ST ",Pass,2019-02-14T00:00:00,4.5
